q1,q2,q3,q4,Call Price,Put Price,Scenario
0.0,0.01,0.07,0.08,3.4281,5.2803,"q=(0.0, 0.01, 0.07, 0.08)"
0.0,0.01,0.08,0.0,3.7517,4.8982,"q=(0.0, 0.01, 0.08, 0.0)"
0.0,0.01,0.08,0.01,3.7425,4.9524,"q=(0.0, 0.01, 0.08, 0.01)"
0.0,0.01,0.08,0.02,3.7439,4.9144,"q=(0.0, 0.01, 0.08, 0.02)"
0.0,0.01,0.08,0.03,3.6393,5.0676,"q=(0.0, 0.01, 0.08, 0.03)"
0.0,0.01,0.08,0.04,3.4862,5.3137,"q=(0.0, 0.01, 0.08, 0.04)"
0.0,0.01,0.08,0.05,3.3918,5.3614,"q=(0.0, 0.01, 0.08, 0.05)"
0.0,0.01,0.08,0.06,3.4343,5.2757,"q=(0.0, 0.01, 0.08, 0.06)"
0.0,0.01,0.08,0.07,3.4548,5.2877,"q=(0.0, 0.01, 0.08, 0.07)"
0.0,0.01,0.08,0.08,3.4346,5.4746,"q=(0.0, 0.01, 0.08, 0.08)"
0.0,0.02,0.0,0.0,4.2647,4.4542,"q=(0.0, 0.02, 0.0, 0.0)"
0.0,0.02,0.0,0.01,4.2085,4.51,"q=(0.0, 0.02, 0.0, 0.01)"
0.0,0.02,0.0,0.02,4.1118,4.5035,"q=(0.0, 0.02, 0.0, 0.02)"
0.0,0.02,0.0,0.03,3.992,4.6689,"q=(0.0, 0.02, 0.0, 0.03)"
0.0,0.02,0.0,0.04,4.0798,4.6746,"q=(0.0, 0.02, 0.0, 0.04)"
0.0,0.02,0.0,0.05,3.8895,4.7248,"q=(0.0, 0.02, 0.0, 0.05)"
0.0,0.02,0.0,0.06,3.7694,4.7875,"q=(0.0, 0.02, 0.0, 0.06)"
0.0,0.02,0.0,0.07,3.8244,4.8666,"q=(0.0, 0.02, 0.0, 0.07)"
0.0,0.02,0.0,0.08,3.9246,4.8425,"q=(0.0, 0.02, 0.0, 0.08)"
0.0,0.02,0.01,0.0,4.0571,4.6027,"q=(0.0, 0.02, 0.01, 0.0)"
0.0,0.02,0.01,0.01,4.1256,4.4673,"q=(0.0, 0.02, 0.01, 0.01)"
0.0,0.02,0.01,0.02,4.0525,4.6392,"q=(0.0, 0.02, 0.01, 0.02)"
0.0,0.02,0.01,0.03,4.0304,4.7445,"q=(0.0, 0.02, 0.01, 0.03)"
0.0,0.02,0.01,0.04,3.9641,4.699,"q=(0.0, 0.02, 0.01, 0.04)"
0.0,0.02,0.01,0.05,3.845,4.8984,"q=(0.0, 0.02, 0.01, 0.05)"
0.0,0.02,0.01,0.06,3.8196,4.8923,"q=(0.0, 0.02, 0.01, 0.06)"
0.0,0.02,0.01,0.07,3.6603,4.9992,"q=(0.0, 0.02, 0.01, 0.07)"
0.0,0.02,0.01,0.08,3.8255,4.9172,"q=(0.0, 0.02, 0.01, 0.08)"
0.0,0.02,0.02,0.0,4.0892,4.6013,"q=(0.0, 0.02, 0.02, 0.0)"
0.0,0.02,0.02,0.01,4.0288,4.6197,"q=(0.0, 0.02, 0.02, 0.01)"
0.0,0.02,0.02,0.02,3.9854,4.6181,"q=(0.0, 0.02, 0.02, 0.02)"
0.0,0.02,0.02,0.03,3.9068,4.7265,"q=(0.0, 0.02, 0.02, 0.03)"
0.0,0.02,0.02,0.04,3.873,4.7872,"q=(0.0, 0.02, 0.02, 0.04)"
0.0,0.02,0.02,0.05,3.7792,4.8978,"q=(0.0, 0.02, 0.02, 0.05)"
0.0,0.02,0.02,0.06,3.6801,4.9181,"q=(0.0, 0.02, 0.02, 0.06)"
0.0,0.02,0.02,0.07,3.6803,4.9718,"q=(0.0, 0.02, 0.02, 0.07)"
0.0,0.02,0.02,0.08,3.5886,4.9906,"q=(0.0, 0.02, 0.02, 0.08)"
0.0,0.02,0.03,0.0,4.1067,4.5574,"q=(0.0, 0.02, 0.03, 0.0)"
0.0,0.02,0.03,0.01,3.8864,4.7877,"q=(0.0, 0.02, 0.03, 0.01)"
0.0,0.02,0.03,0.02,3.8264,4.821,"q=(0.0, 0.02, 0.03, 0.02)"
0.0,0.02,0.03,0.03,3.8646,4.834,"q=(0.0, 0.02, 0.03, 0.03)"
0.0,0.02,0.03,0.04,3.646,4.9453,"q=(0.0, 0.02, 0.03, 0.04)"
0.0,0.02,0.03,0.05,3.6904,4.8574,"q=(0.0, 0.02, 0.03, 0.05)"
0.0,0.02,0.03,0.06,3.6002,5.083,"q=(0.0, 0.02, 0.03, 0.06)"
0.0,0.02,0.03,0.07,3.5634,5.1454,"q=(0.0, 0.02, 0.03, 0.07)"
0.0,0.02,0.03,0.08,3.5507,5.213,"q=(0.0, 0.02, 0.03, 0.08)"
0.0,0.02,0.04,0.0,3.9075,4.8304,"q=(0.0, 0.02, 0.04, 0.0)"
0.0,0.02,0.04,0.01,3.87,4.8347,"q=(0.0, 0.02, 0.04, 0.01)"
0.0,0.02,0.04,0.02,3.9197,4.7548,"q=(0.0, 0.02, 0.04, 0.02)"
0.0,0.02,0.04,0.03,3.7824,4.8775,"q=(0.0, 0.02, 0.04, 0.03)"
0.0,0.02,0.04,0.04,3.7723,4.8501,"q=(0.0, 0.02, 0.04, 0.04)"
0.0,0.02,0.04,0.05,3.68,4.9495,"q=(0.0, 0.02, 0.04, 0.05)"
0.0,0.02,0.04,0.06,3.6441,5.0515,"q=(0.0, 0.02, 0.04, 0.06)"
0.0,0.02,0.04,0.07,3.6059,5.1654,"q=(0.0, 0.02, 0.04, 0.07)"
0.0,0.02,0.04,0.08,3.4922,5.2402,"q=(0.0, 0.02, 0.04, 0.08)"
0.0,0.02,0.05,0.0,3.8656,4.7698,"q=(0.0, 0.02, 0.05, 0.0)"
0.0,0.02,0.05,0.01,3.7396,4.8842,"q=(0.0, 0.02, 0.05, 0.01)"
0.0,0.02,0.05,0.02,3.6535,4.9664,"q=(0.0, 0.02, 0.05, 0.02)"
0.0,0.02,0.05,0.03,3.7728,4.9337,"q=(0.0, 0.02, 0.05, 0.03)"
0.0,0.02,0.05,0.04,3.7675,4.9702,"q=(0.0, 0.02, 0.05, 0.04)"
0.0,0.02,0.05,0.05,3.5418,5.0991,"q=(0.0, 0.02, 0.05, 0.05)"
0.0,0.02,0.05,0.06,3.5947,5.1013,"q=(0.0, 0.02, 0.05, 0.06)"
0.0,0.02,0.05,0.07,3.4776,5.1718,"q=(0.0, 0.02, 0.05, 0.07)"
0.0,0.02,0.05,0.08,3.3724,5.4226,"q=(0.0, 0.02, 0.05, 0.08)"
