q1,q2,q3,q4,Call Price,Put Price,Scenario
0.0,0.01,0.07,0.03,3.6681,5.026,"q=(0.0, 0.01, 0.07, 0.03)"
0.0,0.01,0.07,0.04,3.6183,5.085,"q=(0.0, 0.01, 0.07, 0.04)"
0.0,0.01,0.07,0.05,3.5691,5.1442,"q=(0.0, 0.01, 0.07, 0.05)"
0.0,0.01,0.07,0.06,3.5206,5.2036,"q=(0.0, 0.01, 0.07, 0.06)"
0.0,0.01,0.07,0.07,3.4727,5.263,"q=(0.0, 0.01, 0.07, 0.07)"
0.0,0.01,0.07,0.08,3.4254,5.3226,"q=(0.0, 0.01, 0.07, 0.08)"
0.0,0.01,0.08,0.0,3.7615,4.9142,"q=(0.0, 0.01, 0.08, 0.0)"
0.0,0.01,0.08,0.01,3.7103,4.9735,"q=(0.0, 0.01, 0.08, 0.01)"
0.0,0.01,0.08,0.02,3.6597,5.0329,"q=(0.0, 0.01, 0.08, 0.02)"
0.0,0.01,0.08,0.03,3.6096,5.0923,"q=(0.0, 0.01, 0.08, 0.03)"
0.0,0.01,0.08,0.04,3.5602,5.1519,"q=(0.0, 0.01, 0.08, 0.04)"
0.0,0.01,0.08,0.05,3.5115,5.2115,"q=(0.0, 0.01, 0.08, 0.05)"
0.0,0.01,0.08,0.06,3.4634,5.2713,"q=(0.0, 0.01, 0.08, 0.06)"
0.0,0.01,0.08,0.07,3.4161,5.3313,"q=(0.0, 0.01, 0.08, 0.07)"
0.0,0.01,0.08,0.08,3.3693,5.3913,"q=(0.0, 0.01, 0.08, 0.08)"
0.0,0.02,0.0,0.0,4.2055,4.4582,"q=(0.0, 0.02, 0.0, 0.0)"
0.0,0.02,0.0,0.01,4.1504,4.5135,"q=(0.0, 0.02, 0.0, 0.01)"
0.0,0.02,0.0,0.02,4.096,4.5692,"q=(0.0, 0.02, 0.0, 0.02)"
0.0,0.02,0.0,0.03,4.0423,4.625,"q=(0.0, 0.02, 0.0, 0.03)"
0.0,0.02,0.0,0.04,3.9893,4.6809,"q=(0.0, 0.02, 0.0, 0.04)"
0.0,0.02,0.0,0.05,3.9372,4.7372,"q=(0.0, 0.02, 0.0, 0.05)"
